S,W,T,a0,a0/W,w/b,S/W,W-a0,λ,Dmax,fc,age,GF
1200,300,120,120,0.4,0.5,4,180,0.63,40,51.2,28,268.47
1200,300,120,120,0.4,0.5,4,180,0.58,20,43.3,28,291.74
1200,300,120,120,0.4,0.45,4,180,0.59,20,53.7,28,311.86
1200,300,120,120,0.4,0.35,4,180,0.61,20,56.4,28,330.84
1200,300,120,120,0.4,0.3,4,180,0.62,20,50.2,28,283.74
1600,400,160,120,0.3,0.5,4,280,0.56,10,43.8,28,306.72
1600,400,160,120,0.3,0.5,4,280,0.58,20,43.3,28,366.85
1600,400,160,120,0.3,0.5,4,280,0.7,80,56.2,28,339.32
1600,400,160,120,0.3,0.5,4,280,0.63,40,47.1,28,327.51
400,100,120,40,0.4,0.5,4,60,0.56,10,43.3,28,181.02
600,150,120,60,0.4,0.5,4,90,0.56,10,43.3,28,239.68
800,200,120,80,0.4,0.5,4,120,0.56,10,43.3,28,246.29
1200,300,120,120,0.4,0.5,4,180,0.56,10,43.3,28,291.74
1600,400,120,160,0.4,0.5,4,240,0.58,20,43.3,28,366.85
200,500,120,200,0.4,0.5,0.4,300,0.56,10,43.3,28,279.08
1600,400,240,160,0.4,0.5,4,240,0.7,80,56.2,28,339.32
1800,450,240,180,0.4,0.5,4,270,0.7,80,56.2,28,432.14
2000,500,240,200,0.4,0.5,4,300,0.7,80,56.2,28,467.56
2200,550,240,220,0.4,0.5,4,330,0.7,80,56.2,28,442.59
800,200,120,80,0.4,0.5,4,120,0.63,40,47.1,28,331.44
1000,250,120,100,0.4,0.5,4,150,0.63,40,47.1,28,198.64
1200,300,120,120,0.4,0.5,4,180,0.63,40,47.1,28,321.79
1600,400,120,160,0.4,0.5,4,240,0.63,40,47.1,28,327.51
200,50,50,25,0.5,0.3,4,25,0.6,15,72.5,28,97.9
200,50,50,25,0.5,0.25,4,25,0.6,15,112,28,98.8
400,100,100,50,0.5,0.3,4,50,0.6,15,72.5,28,123.4
400,100,100,50,0.5,0.25,4,50,0.6,15,112,28,139.8
600,150,150,75,0.5,0.3,4,75,0.6,15,72.5,28,85.5
600,150,150,75,0.5,0.25,4,75,0.6,15,112,28,99.9
800,200,200,100,0.5,0.3,4,100,0.6,15,72.5,28,131.5
800,200,200,100,0.5,0.25,4,100,0.6,15,112,28,140.3
800,200,100,40,0.2,0.3,4,160,0.6,15,75.6,28,160.983
800,200,100,60,0.3,0.3,4,140,0.6,15,75.6,28,135.47
800,200,100,100,0.5,0.3,4,100,0.6,15,75.6,28,115.195
800,200,100,120,0.6,0.3,4,80,0.6,15,75.6,28,143.77
400,100,40,30,0.3,0.6,4,70,0.7,10,37.6,28,157.32
400,100,80,30,0.3,0.6,4,70,0.7,10,37.6,28,144.28
400,100,100,30,0.3,0.6,4,70,0.7,10,37.6,28,117.08
400,100,120,30,0.3,0.6,4,70,0.7,10,37.6,28,139.86
400,100,160,30,0.3,0.6,4,70,0.7,10,37.6,28,144.21
400,100,40,30,0.3,0.6,4,70,0.7,10,37.6,28,163.8
400,100,40,30,0.3,0.6,4,70,0.7,10,37.6,28,142.18
400,100,40,30,0.3,0.6,4,70,0.7,10,37.6,28,165.97
400,100,80,30,0.3,0.6,4,70,0.7,10,37.6,28,128.76
400,100,80,30,0.3,0.6,4,70,0.7,10,37.6,28,156.44
400,100,80,30,0.3,0.6,4,70,0.7,10,37.6,28,147.62
400,100,100,30,0.3,0.6,4,70,0.7,10,37.6,28,117.21
400,100,100,30,0.3,0.6,4,70,0.7,10,37.6,28,113.21
400,100,100,30,0.3,0.6,4,70,0.7,10,37.6,28,120.83
400,100,120,30,0.3,0.6,4,70,0.7,10,37.6,28,136.03
400,100,120,30,0.3,0.6,4,70,0.7,10,37.6,28,143.7
400,100,120,30,0.3,0.6,4,70,0.7,10,37.6,28,139.87
400,100,160,30,0.3,0.6,4,70,0.7,10,37.6,28,143.01
400,100,160,30,0.3,0.6,4,70,0.7,10,37.6,28,145.4
200,50,50,15,0.3,0.72,4,35,0.45,10,32.5,28,38.97
400,100,50,30,0.3,0.72,4,70,0.45,10,32.5,28,86.62
600,150,50,45,0.3,0.72,4,105,0.45,10,32.5,28,80.32
800,200,50,60,0.3,0.72,4,140,0.45,10,32.5,28,84.95
1000,250,50,75,0.3,0.72,4,175,0.45,10,32.5,28,96.98
200,50,50,15,0.3,0.72,4,35,0.45,10,32.5,28,42.74
200,50,50,15,0.3,0.72,4,35,0.45,10,32.5,28,35.35
200,50,50,15,0.3,0.72,4,35,0.45,10,32.5,28,38.82
400,100,50,30,0.3,0.72,4,70,0.45,10,32.5,28,74.72
400,100,50,30,0.3,0.72,4,70,0.45,10,32.5,28,82.78
400,100,50,30,0.3,0.72,4,70,0.45,10,32.5,28,91.02
400,100,50,30,0.3,0.72,4,70,0.45,10,32.5,28,97.96
600,150,50,45,0.3,0.72,4,105,0.45,10,32.5,28,74.32
600,150,50,45,0.3,0.72,4,105,0.45,10,32.5,28,77.65
600,150,50,45,0.3,0.72,4,105,0.45,10,32.5,28,88.98
800,200,50,60,0.3,0.72,4,140,0.45,10,32.5,28,91.2
800,200,50,60,0.3,0.72,4,140,0.45,10,32.5,28,95.44
800,200,50,60,0.3,0.72,4,140,0.45,10,32.5,28,72.68
800,200,50,60,0.3,0.72,4,140,0.45,10,32.5,28,80.47
1000,250,50,75,0.3,0.72,4,175,0.45,10,32.5,28,109.93
1000,250,50,75,0.3,0.72,4,175,0.45,10,32.5,28,84.03
600,150,75,45,0.3,0.4,4,105,0.62,20,52.58,28,195.22
600,150,75,45,0.3,0.4,4,105,0.62,20,51.26,28,159.63
600,150,75,45,0.3,0.4,4,105,0.62,20,51.82,28,130.94
600,150,75,45,0.3,0.4,4,105,0.62,20,48.84,28,151.82
600,150,75,45,0.3,0.4,4,105,0.62,20,42.6,28,113.43
600,150,75,45,0.3,0.37,4,105,0.62,20,50.91,28,128.08
600,150,75,45,0.3,0.35,4,105,0.62,20,54.63,28,172.37
600,150,75,45,0.3,0.39,4,105,0.62,20,47.67,28,117.31
600,150,75,45,0.3,0.37,4,105,0.62,20,43.98,28,114.49
600,150,75,45,0.3,0.36,4,105,0.62,20,45.71,28,129.61
600,150,75,45,0.3,0.35,4,105,0.62,20,46.79,28,125.32
600,150,75,45,0.3,0.34,4,105,0.62,20,44.88,28,116.89
600,150,75,45,0.3,0.39,4,105,0.62,20,40.78,28,111.9
600,150,75,45,0.3,0.4,4,105,0.62,20,52.58,28,240.1
600,150,75,45,0.3,0.4,4,105,0.62,20,52.58,28,220.91
600,150,75,45,0.3,0.4,4,105,0.62,20,52.58,28,164.76
600,150,75,45,0.3,0.4,4,105,0.62,20,52.58,28,155.12
600,150,75,45,0.3,0.4,4,105,0.62,20,51.26,28,158.38
600,150,75,45,0.3,0.4,4,105,0.62,20,51.26,28,140.52
600,150,75,45,0.3,0.4,4,105,0.62,20,51.26,28,108.3
600,150,75,45,0.3,0.4,4,105,0.62,20,51.26,28,176.09
600,150,75,45,0.3,0.4,4,105,0.62,20,51.26,28,214.85
600,150,75,45,0.3,0.4,4,105,0.62,20,51.82,28,100.53
600,150,75,45,0.3,0.4,4,105,0.62,20,51.82,28,147.11
600,150,75,45,0.3,0.4,4,105,0.62,20,51.82,28,126.72
600,150,75,45,0.3,0.4,4,105,0.62,20,51.82,28,149.39
600,150,75,45,0.3,0.4,4,105,0.62,20,48.84,28,161.45
600,150,75,45,0.3,0.4,4,105,0.62,20,48.84,28,135.83
600,150,75,45,0.3,0.4,4,105,0.62,20,48.84,28,167.33
600,150,75,45,0.3,0.4,4,105,0.62,20,48.84,28,152.3
600,150,75,45,0.3,0.4,4,105,0.62,20,42.6,28,122.45
600,150,75,45,0.3,0.4,4,105,0.62,20,42.6,28,96.76
600,150,75,45,0.3,0.4,4,105,0.62,20,42.6,28,120.79
600,150,75,45,0.3,0.4,4,105,0.62,20,42.6,28,118.63
600,150,75,45,0.3,0.4,4,105,0.62,20,42.6,28,108.5
600,150,75,45,0.3,0.37,4,105,0.62,20,50.91,28,122.84
600,150,75,45,0.3,0.37,4,105,0.62,20,50.91,28,148.55
600,150,75,45,0.3,0.37,4,105,0.62,20,50.91,28,111.56
600,150,75,45,0.3,0.37,4,105,0.62,20,50.91,28,129.37
600,150,75,45,0.3,0.35,4,105,0.62,20,54.63,28,183.72
600,150,75,45,0.3,0.35,4,105,0.62,20,54.63,28,181.57
600,150,75,45,0.3,0.35,4,105,0.62,20,54.63,28,215.88
600,150,75,45,0.3,0.35,4,105,0.62,20,54.63,28,121.21
600,150,75,45,0.3,0.35,4,105,0.62,20,54.63,28,159.48
600,150,75,45,0.3,0.39,4,105,0.62,20,47.67,28,115.75
600,150,75,45,0.3,0.39,4,105,0.62,20,47.67,28,96.3
600,150,75,45,0.3,0.39,4,105,0.62,20,47.67,28,109.37
600,150,75,45,0.3,0.39,4,105,0.62,20,47.67,28,142.49
600,150,75,45,0.3,0.39,4,105,0.62,20,47.67,28,122.65
600,150,75,45,0.3,0.37,4,105,0.62,20,43.98,28,130.55
600,150,75,45,0.3,0.37,4,105,0.62,20,43.98,28,94.23
600,150,75,45,0.3,0.37,4,105,0.62,20,43.98,28,107.44
600,150,75,45,0.3,0.37,4,105,0.62,20,43.98,28,120.56
600,150,75,45,0.3,0.37,4,105,0.62,20,43.98,28,119.66
600,150,75,45,0.3,0.36,4,105,0.62,20,45.71,28,138.5
600,150,75,45,0.3,0.36,4,105,0.62,20,45.71,28,138.91
600,150,75,45,0.3,0.36,4,105,0.62,20,45.71,28,107.08
600,150,75,45,0.3,0.36,4,105,0.62,20,45.71,28,128.76
600,150,75,45,0.3,0.36,4,105,0.62,20,45.71,28,134.78
600,150,75,45,0.3,0.35,4,105,0.62,20,46.79,28,127.97
600,150,75,45,0.3,0.35,4,105,0.62,20,46.79,28,119.05
600,150,75,45,0.3,0.35,4,105,0.62,20,46.79,28,110.13
600,150,75,45,0.3,0.35,4,105,0.62,20,46.79,28,133.42
600,150,75,45,0.3,0.35,4,105,0.62,20,46.79,28,136.05
600,150,75,45,0.3,0.34,4,105,0.62,20,44.88,28,117.93
600,150,75,45,0.3,0.34,4,105,0.62,20,44.88,28,109.67
600,150,75,45,0.3,0.34,4,105,0.62,20,44.88,28,118.21
600,150,75,45,0.3,0.34,4,105,0.62,20,44.88,28,125.26
600,150,75,45,0.3,0.34,4,105,0.62,20,44.88,28,113.27
600,150,75,45,0.3,0.39,4,105,0.62,20,40.78,28,105.45
600,150,75,45,0.3,0.39,4,105,0.62,20,40.78,28,102.01
600,150,75,45,0.3,0.39,4,105,0.62,20,40.78,28,111.23
600,150,75,45,0.3,0.39,4,105,0.62,20,40.78,28,128.89
420,100,50,50,0.5,0.32,4.2,50,0.47,16,40.31,28,98.61
420,100,50,50,0.5,0.32,4.2,50,0.47,16,43.6,28,124.509
420,100,50,50,0.5,0.32,4.2,50,0.47,16,51.4,28,190.128
420,100,50,50,0.5,0.32,4.2,50,0.47,16,40.31,28,86.242
420,100,50,50,0.5,0.32,4.2,50,0.47,16,40.31,28,90.656
420,100,50,50,0.5,0.32,4.2,50,0.47,16,40.31,28,107.356
420,100,50,50,0.5,0.32,4.2,50,0.47,16,40.31,28,108.615
420,100,50,50,0.5,0.32,4.2,50,0.47,16,40.31,28,100.179
420,100,50,50,0.5,0.32,4.2,50,0.47,16,43.6,28,90.636
420,100,50,50,0.5,0.32,4.2,50,0.47,16,43.6,28,116.408
420,100,50,50,0.5,0.32,4.2,50,0.47,16,43.6,28,88.612
420,100,50,50,0.5,0.32,4.2,50,0.47,16,43.6,28,156.7
420,100,50,50,0.5,0.32,4.2,50,0.47,16,43.6,28,170.19
420,100,50,50,0.5,0.32,4.2,50,0.47,16,51.4,28,197.252
420,100,50,50,0.5,0.32,4.2,50,0.47,16,51.4,28,229.099
420,100,50,50,0.5,0.32,4.2,50,0.47,16,51.4,28,164.558
420,100,50,50,0.5,0.32,4.2,50,0.47,16,51.4,28,204.916
420,100,50,50,0.5,0.32,4.2,50,0.47,16,51.4,28,154.814
600,150,70,60,0.5,0.72,4,90,0.45,10,34.3,28,135.27
600,150,70,60,0.5,0.58,4,90,0.5,10,46.7,28,141.91
600,150,70,60,0.5,0.46,4,90,0.5,10,55,28,128.37
600,150,70,60,0.5,0.36,4,90,0.5,10,79.4,28,140.42
600,150,70,60,0.5,0.32,4,90,0.5,10,91,28,145.6
600,150,70,60,0.5,0.72,4,90,0.45,10,34.3,28,115.06
600,150,70,60,0.5,0.72,4,90,0.45,10,34.3,28,142.01
600,150,70,60,0.5,0.72,4,90,0.45,10,34.3,28,147.57
600,150,70,60,0.5,0.72,4,90,0.45,10,34.3,28,117.12
600,150,70,60,0.5,0.72,4,90,0.45,10,34.3,28,150.38
600,150,70,60,0.5,0.72,4,90,0.45,10,34.3,28,139.5
600,150,70,60,0.5,0.58,4,90,0.5,10,46.7,28,148.24
600,150,70,60,0.5,0.58,4,90,0.5,10,46.7,28,119.22
600,150,70,60,0.5,0.58,4,90,0.5,10,46.7,28,131.36
600,150,70,60,0.5,0.58,4,90,0.5,10,46.7,28,139.95
600,150,70,60,0.5,0.58,4,90,0.5,10,46.7,28,140.72
600,150,70,60,0.5,0.58,4,90,0.5,10,46.7,28,171.98
600,150,70,60,0.5,0.46,4,90,0.5,10,55,28,137.04
600,150,70,60,0.5,0.46,4,90,0.5,10,55,28,121.69
600,150,70,60,0.5,0.46,4,90,0.5,10,55,28,123.55
600,150,70,60,0.5,0.46,4,90,0.5,10,55,28,132.11
600,150,70,60,0.5,0.46,4,90,0.5,10,55,28,127.48
600,150,70,60,0.5,0.36,4,90,0.5,10,79.4,28,146.39
600,150,70,60,0.5,0.36,4,90,0.5,10,79.4,28,133.22
600,150,70,60,0.5,0.36,4,90,0.5,10,79.4,28,136.27
600,150,70,60,0.5,0.36,4,90,0.5,10,79.4,28,143.23
600,150,70,60,0.5,0.36,4,90,0.5,10,79.4,28,143.71
600,150,70,60,0.5,0.36,4,90,0.5,10,79.4,28,139.71
600,150,70,60,0.5,0.32,4,90,0.5,10,91,28,143.25
600,150,70,60,0.5,0.32,4,90,0.5,10,91,28,147.95
600,150,70,60,0.5,0.32,4,90,0.5,10,91,28,154.22
600,150,70,60,0.5,0.32,4,90,0.5,10,91,28,134.85
600,150,70,60,0.5,0.32,4,90,0.5,10,91,28,151.32
600,150,70,60,0.5,0.32,4,90,0.5,10,91,28,141.99
200,50,50,15,0.5,0.72,4,35,0.45,10,32.5,28,63.7
400,100,50,30,0.5,0.72,4,70,0.45,10,32.5,28,103.8
600,150,50,45,0.5,0.72,4,105,0.45,10,32.5,28,111.9
800,200,150,41,0.21,0.57,4,159,0.65,20,44.34,28,135.44
800,200,150,41,0.21,0.57,4,159,0.65,20,44.34,28,173.14
800,200,150,42.4,0.21,0.57,4,157.6,0.65,20,44.34,28,153.53
800,200,150,41.4,0.21,0.57,4,158.6,0.65,20,44.34,28,166.62
800,200,150,58.4,0.29,0.57,4,141.6,0.65,20,44.34,28,187.88
800,200,150,61.8,0.31,0.57,4,138.2,0.65,20,44.34,28,206.12
800,200,150,78.6,0.39,0.57,4,121.4,0.65,20,44.34,28,191.04
800,200,150,79.6,0.4,0.57,4,120.4,0.65,20,44.34,28,110.97
800,200,150,79,0.4,0.57,4,121,0.65,20,44.34,28,180.45
800,200,150,78.6,0.39,0.57,4,121.4,0.65,20,44.34,28,191.04
800,200,150,79.6,0.4,0.57,4,120.4,0.65,20,44.34,28,110.97
800,200,150,79,0.4,0.57,4,121,0.65,20,44.34,28,180.45
800,200,150,83,0.42,0.57,4,117,0.65,20,44.34,28,151.56
1200,300,150,120.9,0.4,0.57,4,179.1,0.65,20,44.34,28,183.04
1200,300,150,119.4,0.4,0.57,4,180.6,0.65,20,44.34,28,147.53
1200,300,150,120.9,0.4,0.57,4,179.1,0.65,20,44.34,28,159.48
1200,300,150,119.7,0.4,0.57,4,180.3,0.65,20,44.34,28,106.54
1600,400,150,157.2,0.39,0.57,4,242.8,0.65,20,44.34,28,120.73
1600,400,150,157.6,0.39,0.57,4,242.4,0.65,20,44.34,28,174.11
1600,400,150,157.6,0.39,0.57,4,242.4,0.65,20,44.34,28,171.57
1600,400,150,159.2,0.4,0.57,4,240.8,0.65,20,44.34,28,147.92
2000,500,150,200,0.4,0.57,4,300,0.65,20,44.34,28,165.44
2000,500,150,199.5,0.4,0.57,4,300.5,0.65,20,44.34,28,132.85
800,200,150,83,0.42,0.57,4,117,0.65,20,44.34,28,151.56
800,200,150,97.6,0.49,0.57,4,102.4,0.65,20,44.34,28,116.8
800,200,150,100,0.5,0.57,4,100,0.65,20,44.34,28,184.42
800,200,150,101,0.51,0.57,4,99,0.65,20,44.34,28,164.87
800,200,150,100,0.5,0.57,4,100,0.65,20,44.34,28,121.77
400,100,40,50,0.2,0.58,4,50,0.63,20,32.8,28,127.9
400,100,40,50,0.2,0.48,4,50,0.65,20,48.9,28,130.6
400,100,40,50,0.2,0.31,4,50,0.66,20,69.9,28,122.4
400,100,40,50,0.2,0.24,4,50,0.7,20,84.1,28,141
400,100,40,50,0.2,0.23,4,50,0.7,16,115.8,28,138
